destination,mood_tags,ideal_group,avg_budget_per_day_inr,best_months,sample_itinerary,type,base_destination,validated_state,state
Dzukou Hollow,"romantic, spiritual, forest","couples, solo, family",2363,Mar - Jun,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Dzukou,Nagaland,Nagaland
Araku Valley,"remote, forest, snow, adventure","family, couples",3061,Nov - Feb,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Araku,Andhra Pradesh,Andhra Pradesh
Kudremukh Heights,"spiritual, solo, romantic",couples,2023,Jun - Sep,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Kudremukh,Karnataka,Karnataka
Sundarbans Cove,"nature, chill, trek","family, solo, friends",2808,Aug - Nov,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Sundarbans,West Bengal,West Bengal
Tawang Meadows,"adventure, remote, forest, chill","couples, family, friends",1625,Nov - Feb,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Tawang,Arunachal Pradesh,Arunachal Pradesh
Goechala Valley,"friends, remote, romantic, photography, forest","solo, friends, family",1231,Sep - Dec,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Goechala,Sikkim,Sikkim
Coorg Creek,"remote, nature, chill","family, friends, solo",1215,Jan - Mar,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Coorg,Karnataka,Karnataka
Wayanad Lake,"friends, romantic, remote, spiritual, forest","friends, solo, couples",1750,Aug - Nov,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Wayanad,Kerala,Kerala
Chembra Peak,"spiritual, trek, nature","friends, family, couples",2253,Nov - Feb,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Chembra,Kerala,Kerala
Sundarbans Forest,"adventure, trek, remote, spiritual",family,2119,Jan - Mar,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Sundarbans,West Bengal,West Bengal
Nilkanth Nest,"hiking, trek, snow","family, couples, solo",1469,Nov - Feb,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Nilkanth,Uttarakhand,Uttarakhand
Matheran View,"friends, remote, photography","friends, couples, solo",3085,Jun - Sep,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Matheran,Maharashtra,Maharashtra
Panchgani Point,"spiritual, chill, nature, snow, remote",family,1727,Sep - Dec,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Panchgani,Maharashtra,Maharashtra
Kanha Meadows,"nature, friends, romantic","solo, family, friends",3289,Aug - Nov,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Kanha,Madhya Pradesh,Madhya Pradesh
Sundarbans View,"trek, snow, solo, nature, chill",friends,1405,Jun - Sep,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Sundarbans,West Bengal,West Bengal
Ziro Glade,"solo, photography, friends",friends,2740,Jun - Sep,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Ziro,Arunachal Pradesh,Arunachal Pradesh
Spiti Heights,"photography, chill, romantic","couples, solo, friends",2176,Mar - Jun,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Spiti,Himachal Pradesh,Himachal Pradesh
Tawang Heights,"spiritual, solo, remote, hiking",friends,3479,May - Aug,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Tawang,Arunachal Pradesh,Arunachal Pradesh
Rajmachi Falls,"trek, adventure, solo, wildlife, snow","family, solo",3317,May - Aug,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Rajmachi,Maharashtra,Maharashtra
Wayanad Heights,"adventure, photography, hiking","solo, couples",1568,Feb - Apr,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Wayanad,Kerala,Kerala
Chopta Point,"chill, wildlife, friends, romantic, hiking","friends, family",1993,Nov - Feb,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Chopta,Uttarakhand,Uttarakhand
Spiti Hollow,"nature, friends, snow, adventure, solo","friends, family, solo",1311,Jan - Mar,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Spiti,Himachal Pradesh,Himachal Pradesh
Markha Bluff,"spiritual, photography, nature, solo, forest",family,2089,Jun - Sep,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Markha,Ladakh,Ladakh
Wayanad Glade,"friends, romantic, forest, spiritual, chill","family, solo",2743,Jan - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Wayanad,Kerala,Kerala
Anamudi Nest,"wildlife, chill, remote",couples,2495,Oct - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Anamudi,Kerala,Kerala
Matheran Base,"hiking, forest, spiritual",family,2723,Nov - Feb,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Matheran,Maharashtra,Maharashtra
Agumbe Glade,"trek, forest, nature, remote",friends,1264,Sep - Dec,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Agumbe,Karnataka,Karnataka
